title,relevant_sentence,label
Schinhorn 3796 m - Westnordwestgrat,Ab P.1938 führt eine Wegspur in Richtung Beichpass. | S- | IV,neutral
Von Pirigen auf das Mattjisch Horn,Auf dem Weg zum Mattjisch Horn. | T3,neutral
Berisal - Bortelhütten - Rosswald,Dieser Weg ist eher schmall und man muss dort schon eher trittsicher sein. | T3,neutral
Riffelhorn Ost-West-Überschreitung,Eine plattige Verschneidung zu Beginn ist gleich die schwierigste Stelle der Tour. | II,neutral
"Radüner Rothorn, 3021 m",Kurz vor dem Pass zweigt der Weg gegen dieSchwarzhornfurggaab. | T4+,neutral
Chli Furkahorn,"Da wir am Pass parkierten, kam als kurzes Warmup zum Start noch das Wegstück zum Hotel Furkablick dazu. | T4",neutral
Signina - Piz Fess und Co.,Nachher wieder einfacher bis in die Scharte. | T6 | III,neutral
"Ober Gabelhorn  - (kompletter Gabelhorngrat, Abstieg Wellenkuppe)",Um kurz nach 10.00 sind wir in Zermatt - einfach jedes Mal eine spezielle Stimmung in diesem Dorf. | ZS+,neutral
Bruschghorn (3055 m) und Piz Tuf (2834 m) ab Zillis,Und auch die Fortsetzung bis zumBruschghorn-Gipfel ist dank Steinmännern und Wegspuren nicht zu verfehlen. | T5- | L,neutral
Überschreitung Ober Gabelhorn und Zinalrothorn,Fester Granit und schuttige Abschnitte sowie Passagen zum Abklettern und solche zum Abseilen. | T5 | S | V,neutral
Sir Elias oder ein Date mit einem adligen,"Unsere zwei geplanten Tourentage mussten wetterbedingt auf einen reduziert werden, wobei wir dem Klettern den Vorrang gaben. | T4 | 5a",neutral
Nel cuore del Ticino...,Und auch imMaggiatalwaren nach den Unwettern Ende Juni 2024 alle verfügbaren Kräfte mit Aufräumarbeiten von unvorstellbarem Ausmass beschäftigt. | T6 | WS+ | III,neutral
Vom Barrhorn bis Bishorn,"Tag 3:Von der Turtmannhütte ging es den gleiche Weg über die Gässi wieder hoch, bis kurz danach eine Abzweigung Richtung Tracuithütte erfolgt. | T4+",neutral
